Pokemon Name,Pokemon ID,Route,Catch Method,Encounter Chance
Poliwag,60,Celadon City,Good Rod,Common
Goldeen,118,Celadon City,Super Rod,Common
Goldeen,118,Celadon City,Good Rod,Common
Magikarp,129,Celadon City,Old Rod,Common
Vulpix,37,Celadon City,Game Corner,NA
Wigglytuff,40,Celadon City,Game Corner,NA
Abra,63,Celadon City,Game Corner,NA
Scyther,123,Celadon City,Game Corner,NA
Pinsir,127,Celadon City,Game Corner,NA
Eevee,133,Celadon City,Gift,NA
Porygon,137,Celadon City,Game Corner,NA
Golbat,42,Cerulean Cave#1F,Walking,Common
Poliwag,60,Cerulean Cave#1F,Good Rod,Common
Goldeen,118,Cerulean Cave#1F,Super Rod,Common
Goldeen,118,Cerulean Cave#1F,Good Rod,Common
Seaking,119,Cerulean Cave#1F,Super Rod,Common
Magikarp,129,Cerulean Cave#1F,Old Rod,Common
Sandslash,28,Cerulean Cave#1F,Walking,Uncommon
Gloom,44,Cerulean Cave#1F,Walking,Uncommon
Weepinbell,70,Cerulean Cave#1F,Walking,Uncommon
Graveler,75,Cerulean Cave#1F,Walking,Uncommon
Parasect,47,Cerulean Cave#1F,Walking,Rare
Venomoth,49,Cerulean Cave#1F,Walking,Rare
Ditto,132,Cerulean Cave#1F,Walking,Rare
Golbat,42,Cerulean Cave#2F,Walking,Common
Sandslash,28,Cerulean Cave#2F,Walking,Uncommon
Graveler,75,Cerulean Cave#2F,Walking,Uncommon
Rhyhorn,111,Cerulean Cave#2F,Walking,Uncommon
Ditto,132,Cerulean Cave#2F,Walking,Uncommon
Gloom,44,Cerulean Cave#2F,Walking,Rare
Weepinbell,70,Cerulean Cave#2F,Walking,Rare
Rhydon,112,Cerulean Cave#2F,Walking,Rare
Golbat,42,Cerulean Cave#B1F,Walking,Common
Poliwag,60,Cerulean Cave#B1F,Good Rod,Common
Goldeen,118,Cerulean Cave#B1F,Super Rod,Common
Goldeen,118,Cerulean Cave#B1F,Good Rod,Common
Seaking,119,Cerulean Cave#B1F,Super Rod,Common
Magikarp,129,Cerulean Cave#B1F,Old Rod,Common
Graveler,75,Cerulean Cave#B1F,Walking,Uncommon
Rhyhorn,111,Cerulean Cave#B1F,Walking,Uncommon
Rhydon,112,Cerulean Cave#B1F,Walking,Uncommon
Ditto,132,Cerulean Cave#B1F,Walking,Uncommon
Lickitung,108,Cerulean Cave#B1F,Walking,Rare
Chansey,113,Cerulean Cave#B1F,Walking,Rare
Mewtwo,150,Cerulean Cave#B1F,Interact,NA
Bulbasaur,1,Cerulean City,Gift,NA
Dewgong,87,Cinnabar Island,Trade,NA
Muk,89,Cinnabar Island,Trade,NA
Rhydon,112,Cinnabar Island,Trade,NA
Omanyte,138,Cinnabar Island,Fossil,NA
Kabuto,140,Cinnabar Island,Fossil,NA
Aerodactyl,142,Cinnabar Island,Fossil,NA
Diglett,50,Diglett's Cave,Walking,Common
Dugtrio,51,Diglett's Cave,Walking,Rare
