Pokemon Name,Pokemon ID,Route,Catch Method,Levels,Encounter Chance
Magikarp,129,Celadon City,Old Rod,5,100%
Poliwag,060,Celadon City,Good Rod,10,50%
Goldeen,118,Celadon City,Good Rod,10,50%
Poliwhirl,061,Celadon City,Super Rod,23,50%
Slowpoke,079,Celadon City,Super Rod,15,50%
Eevee,133,Celadon City,Gift,25,One
Abra,063,Game Corner,,6,120C
Clefairy,035,Game Corner,,12,750C
Nidorino,033,Game Corner,,17,1200C
Pinsir,127,Game Corner,,20,2500C
Dratini,147,Game Corner,,24,4600C
Porygon,137,Game Corner,,18,6500C
Raichu,026,Cerulean Cave#1F,Cave,53,4%
Sandslash,028,Cerulean Cave#1F,Cave,52,10%
Golbat,042,Cerulean Cave#1F,Cave,46,25%
Parasect,047,Cerulean Cave#1F,Cave,52,5%
Venomoth,049,Cerulean Cave#1F,Cave,49,10%
Kadabra,064,Cerulean Cave#1F,Cave,49,5%
Magneton,082,Cerulean Cave#1F,Cave,46,15%
Dodrio,085,Cerulean Cave#1F,Cave,49,10%
Hypno,097,Cerulean Cave#1F,Cave,46,15%
Ditto,132,Cerulean Cave#1F,Cave,53,1%
Magikarp,129,Cerulean Cave#1F,Old Rod,5,100%
Poliwag,060,Cerulean Cave#1F,Good Rod,10,50%
Goldeen,118,Cerulean Cave#1F,Good Rod,10,50%
Slowbro,080,Cerulean Cave#1F,Super Rod,23,25%
Kingler,099,Cerulean Cave#1F,Super Rod,23,25%
Seadra,117,Cerulean Cave#1F,Super Rod,23,25%
Seaking,119,Cerulean Cave#1F,Super Rod,23,25%
Wigglytuff,040,Cerulean Cave#2F,Cave,54,5%
Venomoth,049,Cerulean Cave#2F,Cave,51,15%
Kadabra,064,Cerulean Cave#2F,Cave,51,15%
Dodrio,085,Cerulean Cave#2F,Cave,51,25%
Electrode,101,Cerulean Cave#2F,Cave,52,10%
Marowak,105,Cerulean Cave#2F,Cave,52,10%
Rhydon,112,Cerulean Cave#2F,Cave,52,10%
Chansey,113,Cerulean Cave#2F,Cave,56,5%
Ditto,132,Cerulean Cave#2F,Cave,"55, 60",5%
Raichu,026,Cerulean Cave#B1F,Cave,64,10%
